country,product_desc,city,source,buyer_name,hs_code,email
PH,lipsticks and cosmetics,Quezon City,KOTRA_SNS,Lazada,330410.0,
PK,make up mobikes accessories jewlery art,Faisalabad,KOTRA_SNS,Pak Estate Marketing,330499.0,
IN,Cosmetic,Jamnagar,KOTRA_SNS,Angellica Herbotics,330499.0,
PK,cosmetics,Karachi,KOTRA_SNS,JM Enterprises,330499.0,
PK,cosmetics,lahore,KOTRA_SNS,abcd,330499.0,
PK,cosmetics,Sukkur,KOTRA_SNS,Mehran Enterprise sukkur cosmetics and beauty shop beautyparlours item,330499.0,
IN,cosmetic,Junagadh,KOTRA_SNS,farmson enterprise,330499.0,
PK,beauty products,Islamabad,KOTRA_SNS,,330499.0,
IN,cosmetic,Bhopal,KOTRA_SNS,stanford school,330499.0,
IN,Cosmetics,Rajkot,KOTRA_SNS,Jiyana Crafts,330420.0,
GB,makeup,Huddersfield,KOTRA_SNS,Amazon.com,330499.0,
BD,cosmetics,Dhaka,KOTRA_SNS,BeeStudio,330491.0,
PK,Cosmetics,Karachi,KOTRA_SNS,i have my own small business,330499.0,
PK,Cosmetics,Islamabad,KOTRA_SNS,Scentaass Traders,330499.0,
IN,cosmetics,New delhi,KOTRA_SNS,Eden Overseas,330499.0,
PK,Cosmetic makeup,HYDERABAD sindh pk,KOTRA_SNS,Cosmetics,330420.0,
PK,Makeup,Lahore,KOTRA_SNS,Maahzu Closets,330410.0,
PK,beauty products,karachi,KOTRA_SNS,xyz,330499.0,
US,cosmetic,Gurgaon,KOTRA_SNS,sknautoshoppe,330499.0,
IN,cosmetics,Chennai,KOTRA_SNS,kottram healthcare pvt Ltd,330410.0,
IN,COSMETICS,vapi,KOTRA_SNS,Atlaspot India Private Limited,330499.0,
IN,Cosmetics,Abohar,KOTRA_SNS,HDFC,330499.0,
US,Beauty products,Pathankot,KOTRA_SNS,CommissionEmpire.com,330499.0,
IN,Cosmetics,Mumbai,KOTRA_SNS,Tech Mahindra,330499.0,
PK,cosmetics,Islamabad,KOTRA_SNS,Comstar,330499.0,
IN,Beauty products,Tahsil Fatehpur,KOTRA_SNS,Abrar Enterprises,330499.0,
ID,Hair care,Surabaya,KOTRA_SNS,Elvo Indonesia,330510.0,
PH,skin care products,Calamba,KOTRA_SNS,online seller,330499.0,
PH,Skincare and make up,Quezon City,KOTRA_SNS,,330499.0,
ID,Cosmetic etc,Surabaya,KOTRA_SNS,Myshoppingsolutiononline,330499.0,
KH,All Skin care,Srok Siem Reap,KOTRA_SNS,Heritage Suites Hotel,330410.0,
PH,cosmetics,pasay city,KOTRA_SNS,3d Analyzer Information Technologies Inc.,330499.0,
PH,Beauty Products,Consolacion Cebu,KOTRA_SNS,Trendz Marketing Official,330499.0,
PH,Cosmetics,Las Pias,KOTRA_SNS,AMZ,330499.0,
PH,cosmetics,taguig city,KOTRA_SNS,housekeeping specialeast,330790.0,
PH,skin care,Muntinlupa City,KOTRA_SNS,Sonrisa Dental,330499.0,
PH,Beauty products,Fort Bonifacio,KOTRA_SNS,Browlab Manila,330499.0,
PH,Cosmetics,Davao City,KOTRA_SNS,Novee Laboratory Aesthetics Corporation,330499.0,
US,Beauty products,marilao bulacan,KOTRA_SNS,Sitel Corporation Philippines,330499.0,
PH,cosmetics,Sta Rosa,KOTRA_SNS,DMCI HOMES,330499.0,
US,Makeup lipstick,richmond,KOTRA_SNS,Many Faces with tay,330410.0,
US,beauty health wellness,Bowie,KOTRA_SNS,cascade resale store,330499.0,
US,Lipsticks,Plantation,KOTRA_SNS,Roxbury Global Solutions INC,330410.0,
US,cosmetic,Pendleton,KOTRA_SNS,Layla's Lovelies,330590.0,
CA,"Cosmetic, health, fashion",Toronto,KOTRA_SNS,Earth Pluse,330499.0,
US,Cosmetics,Dallas,KOTRA_SNS,Kita Concepts,330499.0,
US,Makeup,Memphis,KOTRA_SNS,Crowned in glory,330499.0,
US,Organics products,Downey,KOTRA_SNS,Bloom beauty supplies Co.,330499.0,
US,Makeup and beauty,Richfield,KOTRA_SNS,Blakwardrob,330420.0,
US,Makeup,Colorado Springs,KOTRA_SNS,Na,330499.0,
CA,All products,Toronto,KOTRA_SNS,7 Industries Sales and Marketing,330499.0,
US,Makeup,Sacramento,KOTRA_SNS,Elana’s beauty,330410.0,
US,Cosmetics,West Valley City,KOTRA_SNS,MiK Enterprises LLC,330499.0,
US,Makeup,Alexandria,KOTRA_SNS,Washington DC,330420.0,
IN,Beauty product,surat,KOTRA_SNS,Bittu exim,330499.0,
IN,cosmetics,Mumbai,KOTRA_SNS,Beauty Box Cosmetics (TBB COSMETICS PRIVATE LIMITED),330499.0,
US,beauty products,Wyoming,KOTRA_SNS,Mychoice Enterprise Ltd,330491.0,
PK,makeup,Karachi,KOTRA_SNS,MDK Japan,330410.0,
IN,Cosmetics,Mumbai,KOTRA_SNS,CrossCon / EKO GEKO PRIVATE LIMITED,330499.0,
IN,cosmetics,Ahmedabad,KOTRA_SNS,Aarna Pharmaceuticals,330499.0,
IN,lipstick lipgloss compact eyliner,Dehra Dun,KOTRA_SNS,AVS Ventures,330410.0,
IN,Cosmetics,Mumbai,KOTRA_SNS,Anu's,330499.0,
MN,Hair care,Ulaanbaatar,KOTRA_SNS,Zuushop,330590.0,
UA,Cosmetics,Kyiv,KOTRA_SNS,Korea cosmetics Ukraine,330499.0,
US,"skincare, make up",Экибастуз,KOTRA_SNS,Self employed,330499.0,
UZ,"Cosmetics, hair care",Tashkent,KOTRA_SNS,Zartech Pro LLC,330590.0,
UA,Cosmetic,Kyiv,KOTRA_SNS,MORO Ukraine,330510.0,
MN,Cosmetics,Ulaanbaatar,KOTRA_SNS,Apexcom,330499.0,
KZ,Cosmetics,Астана,KOTRA_SNS,Работа не по найму,330499.0,
UZ,Cosmetics,Tashkent,KOTRA_SNS,Al Majid Beauty group,330499.0,
ZA,Cosmetics,Uzbekistan,KOTRA_SNS,personal,330499.0,
GB,Skincare,New Delhi,KOTRA_SNS,doctor,330499.0,
KW,cosmetics,Salmiya,KOTRA_SNS,Ishq Aur Dervaish,330410.0,
PK,Cosmetics,Narowal,KOTRA_SNS,Arizona Enterprises,330499.0,
AE,cosmetic,dubai,KOTRA_SNS,topchoicediamon l.l.c,330499.0,
IN,Cosmetic,Surat,KOTRA_SNS,RJShop,330499.0,
IN,cosmetics,Rourkela,KOTRA_SNS,Lookcious,330499.0,
PH,Beauty products and skincare,Santa Rosa,KOTRA_SNS,The White Closet,330499.0,
US,cosmetics,Cauayan City,KOTRA_SNS,VA Cowork,330499.0,
PH,beauty products,Makati,KOTRA_SNS,Fit And Trim Manila,330499.0,
PH,skincare,"Taytay, Rizal",KOTRA_SNS,,330499.0,
PH,Beauty products and food,Victorias City,KOTRA_SNS,Aguila Businesses,330499.0,
PH,cosmetics,imus,KOTRA_SNS,Schwarzkopf Professional Philippines,330499.0,
PH,cosmetic,Puerto Princesa,KOTRA_SNS,marinne home inn,330491.0,
PH,Cosmetics,Davao City,KOTRA_SNS,"Followed By 1,653,865 People",330499.0,
PH,cosmetics and beauty products,San Fernando,KOTRA_SNS,Online Business,330790.0,
KH,lips,Siem Reap,KOTRA_SNS,Cambodia,330491.0,
PH,cosmetics,Manila,KOTRA_SNS,AP Law,330410.0,
